i think you need to be in the hospital .	我知道 , 我知道 , 這樣 。
we're biological creatures .	我們的 。
i couldn't disagree more .	我不不不不不不好 。
that's what we all need to do .	這樣 , 我們要做什麼 。
so no more missing , guys .	所以 , 所以 , 沒有人 。
it's so glamorous .	它很棒 。
and let me illustrate that .	但我在我開始 , 我很棒 。
and i kept on getting lost .	我在我開始 , 一邊 。
it is not a guarantee .	它是很棒的 。
the queen of clubs !	大大大的 「 說: 「  "
this is a huge collaboration .	所以 , 大大大大的 。
that's a terrible story .	這裡是 「 很棒 。
now , that's one barrier .	這裡 , 很棒 。
there are , indeed , problems .	一個人 , 很棒 , 很棒 。
we live in ignorance .	我們的 。
no , that's what i thought .	但 , 我不不說: 「 我的 。
you can manipulate it yourself .	所以 , 你要做什麼 。
language just doesn't work that way .	不不不不不好 。
but there will always be another war . "	但 , 但 , 但 , 但是 「 這樣 。
ah , sorry about that .	一邊 , 很棒 。
now that never would have been possible before .	所以 , 不不不不不不不不不不 。
and women do fundraising .	例例如如如例 。
sure , she had aged a little .	這裡 , 一件事 , 一件事 。
we first began by looking at heart disease .	我們有一步 , 我們有大的 。
and there are various facets .	很棒 。
because , the earth is our ship .	但 , 我們有有有有 。
thank you very much . thank you .	你 。
they fought . the worked .	它是很棒 。
i get emotional . sorry .	我很棒 。
now , what about concrete ?	問題 , 這樣嗎 ?
so basically , i got . . .	所以 , 我很棒 。
i started off in uganda .	我在家子子子子子 。
don't tell us where you are .	不不不不不好 。
and so i believed it , too .	所以 , 我不不不不不 。
so , i wanted to show you something .	所以 , 我說 , 這樣 。
and you can get a list .	所以 , 你要做了 。
you can observe it .	所以 , 你要做了 。
but i want to do more than that .	但我知道 , 但我是很棒 。
it's a problem like any other .	不不不不不好 。
and she goes on to say . . .	他說: 「 說: 「 說: 「  。
and i couldn't hear this sound .	我知道 , 我說: 「 這樣 。
and here's the most important part .	這裡是是是是非常非常的 。
here's what that looks like .	這裡是 「 這樣 。
so you have to do something like this .	所以 , 你要做什麼 。
and it uses no fuel .	不不不不不不 。
i had done the homework .	我在我開始 , 一邊 。
landing hurts .	克斯斯斯斯斯斯 。
we victims need everyone .	我們要要要做 。
so now this technology — thank you .	所以 , 所以 , 你要做 。
i'd like to try something new .	我知道 , 我知道這部分 。
how much do you get paid ?	這樣嗎 ?
i wanted to seek out new life .	我知道 , 我在一步 。
it was around this time when . . .	這裡 , 一件事 。
he made sure that everything lined up .	他很棒 。
that may sound ridiculous .	很棒 。
stick with the people you know .	克斯: 「 你要做 。
lots of us mayors do that .	不不不不好 。
that really creeped us out .	很棒 。
what do you do for a living ? "	你知道嗎 ?
but they were random things .	但 , 但 , 但 , 但 , 但 , 但 , 但他們 。
they said he was that kind of guy .	說: 「 說: 「 說: 「  。
how many people have their blackberry ?	所以 , 很大大的 , 一件事 , 這樣嗎 ?
but now , it was closing .	但 , 但 , 但 , 但 , 但 , 但 , 但你 。
i call it the ipatient .	我說: 「 我很棒 。
no , we shouldn't measure .	我們知道 , 我們是 , 我們是非常大的 。
so how on earth do we even see ?	所以 , 我們要做什麼 ?
by leading a movement and making change .	大大大 , 更更好 。
he started a motorbike company .	他在一間間間間間間間 ,
comedians know all about this .	這裡是 「 一件事 。
scott , thank you so much .	第二 , 你是 「 你的 。
they started making their own video games .	不不想 , 沒有人 。
they're more american than anything else .	他們是很很棒的 。
and we knew nothing about going to space .	我們知道 , 我們知道 。
but they always stop and take a picture .	但 , 但 , 但 , 但 , 但 , 但 , 但你 。
about 325 have been produced .	三年 , 25% 。
because maybe , maybe they mean a lot .	但 , 不不不不不 。
what about if you're new power ?	所以 , 你要做什麼 ?
what do you want to write about ? "	你知道 ? 」 」 」 」
try 1 and check the light .	所以 , 25% 。
ca: last question , larry .	第一: 「 一件事 。
ag: yeah . ok .	第一: 「 說: 「  。
so we started looking elsewhere .	所以 , 我們要做了 。
my father was literally born again .	我很棒 。
and i said , " yeah . "	我說: 「 我說: 「  「  「  "
can i have the lights up again ?	我的 , 我有一步嗎 ?
i've never known anything else .	我知道 , 我知道 , 不不不不想 。
but let me just say a couple words .	但我說: 「 說: 「 說: 「 但我 。
can you write it using pictures ?	所以 , 你要做什麼 ?
next stop was georgia .	三年 , 一邊 。
yes ! yes ! it's true !	「 說: 「  「  「  「  "
i can actually personalize the experience now .	我不不不不不好 。
what does not change is that voice within .	不不不不好 。
we need eight hours of sleep a night .	我們在20年 , 我們在19% 。
and you're all invited .	所以 , 你是很棒 。
so , i did this work for her .	所以 , 我說 , 我在我 。
it's not our burden .	不不不不好 。
how can we find an entire connectome ?	我們要做什麼 ?
we all start life as one single cell .	我們在我們有一步 。
and that will get you very far .	這樣 , 你是很棒 。
no , i don't do that .	我覺得 , 我很棒 。
in reality , take a guess .	這裡 , 一邊 。
hold your breath for me .	這裡是我說:我 。
there's no question about it .	問題是 「 問題 。
paper has some downsides .	大大大大 。
that can't be right . "	問題是 「 說: 「 說: 「  "
there would still be dangers .	很棒 。
we are very far from it .	我們是很棒 。
twice as likely .	很棒 。
i was just a kid back then .	我很棒 。
and that's what you get .	這樣 , 你要做什麼 ?
they continued doing exactly the same .	而我們能能能做 。
but the data says something different .	但 , 但 , 但 , 但 , 但 , 但 , 但這 。
the product was that airplane .	例例例 , 大大大 。
we're not alone , though .	我們不不不不不 。
now , there's another problem .	這裡 , 很棒 。
the goal is very clear .	很棒 。
we'll need an action .	我們需要的 。
why are we conscious ?	所以 , 我們知道嗎 ?
is there anyone else out there ?	問題 , 這樣 ?
and kathe did her job .	克斯斯斯斯斯斯斯斯斯斯斯斯 。
it was all rubble .	很棒 。
the young man should be made first .	三年 , 一件事 。
this is a hologram .	這張 。
tabutni . thank you .	它是 「 你的 。
why has the record been so poor ?	所以 , 你是一步嗎 ?
and there's the sheep .	這裡是 「 我的 。
now to the final approach .	這樣 。
why do we sometimes cheat ?	所以 , 我們知道了嗎 ?
now , here's another reason .	這裡 , 一件事 。
i'm numb .	我很棒 。
and here's the statement .	這裡 , 很棒 。
it's a core question .	問題是: 「 問題 。
that was the magic number .	很棒 。
and this is slowly starting .	所以 , 很棒 。
so i came up with a plan .	所以 , 我在一邊 。
so i wanted something to solve it .	所以 , 我知道 , 我知道 。
it's going to be fun .	這樣 。
but how does it work , exactly ?	但 , 但 , 但 , 但你 ?
so that's a big change .	所以 。
they're just not moving .	不不不不好 。
maybe you've heard of her .	所以 , 你說: 「 說 。
his vision was pretty poor .	我很棒 。
" i'm ok . "	我說: 「  「  " " " " " 」 」
sr: that is true .	小:: 「 很棒 。
and then you see a date .	各位 , 你說了 。
but then what happens in step three ?	但 , 但 , 但這千千年 , 但這次嗎 ?
and what has happened in the world ?	這樣 , 這樣嗎 ?
you decided to build a space company .	所以 , 你是一邊 。
and everything that my office was doing .	我很棒 , 我很棒 。
we are not a special interest group .	我們不不好的 。
get yourself to a specialist center .	這樣 , 這樣 。
hopefully , they will come .	但 , 這樣 , 沒有人 。
this might be a startling answer .	所以 , 很棒 。
they're paid for .	他們是很棒 。
np: i remember that .	我說: 「 我說: 「 我說 。
" beth , " she said .	「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 「 "
there are actually two tails .	兩種種種種 。
he had acromegaly .	他很棒 。
the second thing you need is light .	這裡是 「 一部分 。
supercomputers same thing .	大大的 , 很棒 。
they watched the video over there .	他們在一邊 , 再了 。
so i became my own intern .	所以 , 我在我開始 。
who is that going to come from ?	這裡是 「 什麼 ?
well , what difference does this make ?	問題 , 問題 , 這樣嗎 ?
i've talked to them .	我說 , 我說: 「 這樣 。
now , it goes down to a .	所以 , 一邊 , 不見了 。
